,Abbrev,Long,Category
64,nR05,number of 5-membered rings, Ring descriptors
65,nR06,number of 6-membered rings, Ring descriptors
66,nR07,number of 7-membered rings, Ring descriptors
67,nR08,number of 8-membered rings, Ring descriptors
68,nR09,number of 9-membered rings, Ring descriptors
69,nR10,number of 10-membered rings, Ring descriptors
70,nR11,number of 11-membered rings, Ring descriptors
71,nR12,number of 12-membered rings, Ring descriptors
72,nBnz,number of benzene-like rings, Ring descriptors
73,ARR,aromatic ratio, Ring descriptors
74,AP,aromatic proportion, Ring descriptors
75,D/Dtr03,distance/detour ring index of order 3, Ring descriptors
76,D/Dtr04,distance/detour ring index of order 4, Ring descriptors
77,D/Dtr05,distance/detour ring index of order 5, Ring descriptors
78,D/Dtr06,distance/detour ring index of order 6, Ring descriptors
79,D/Dtr07,distance/detour ring index of order 7, Ring descriptors
80,D/Dtr08,distance/detour ring index of order 8, Ring descriptors
81,D/Dtr09,distance/detour ring index of order 9, Ring descriptors
82,D/Dtr10,distance/detour ring index of order 10, Ring descriptors
83,D/Dtr11,distance/detour ring index of order 11, Ring descriptors
84,D/Dtr12,distance/detour ring index of order 12, Ring descriptors
85,ZM1,first Zagreb index, Topological indices
86,ZM1V,first Zagreb index by valence vertex degrees, Topological indices
87,ZM1Kup,first Zagreb index by Kupchik vertex degrees, Topological indices
88,ZM1Mad,first Zagreb index by Madan vertex degrees, Topological indices
89,ZM1Per,first Zagreb index by perturbation vertex degrees, Topological indices
90,ZM1MulPer,first Zagreb index by multiplicative perturbation vertex degrees, Topological indices
91,ZM2,second Zagreb index, Topological indices
92,ZM2V,second Zagreb index by valence vertex degrees, Topological indices
93,ZM2Kup,second Zagreb index by Kupchik vertex degrees, Topological indices
94,ZM2Mad,second Zagreb index by Madan vertex degrees, Topological indices
95,ZM2Per,second Zagreb index by perturbation vertex degrees, Topological indices
96,ZM2MulPer,second Zagreb index by multiplicative perturbation vertex degrees, Topological indices
97,ON0,overall modified Zagreb index of order 0, Topological indices
98,ON0V,overall modified Zagreb index of order 0 by valence vertex degrees, Topological indices
99,ON1,overall modified Zagreb index of order 1, Topological indices
100,ON1V,overall modified Zagreb index of order 1 by valence vertex degrees, Topological indices
101,Qindex,quadratic index, Topological indices
102,BBI,Bertz branching index, Topological indices
103,DBI,Dragon branching index, Topological indices
104,SNar,Narumi simple topological index (log function), Topological indices
105,HNar,Narumi harmonic topological index, Topological indices
106,GNar,Narumi geometric topological index, Topological indices
107,Xt,total structure connectivity index, Topological indices
108,Dz,Pogliani index, Topological indices
109,Ram,ramification index, Topological indices
110,BLI,Kier benzene-likeliness index, Topological indices
111,Pol,polarity number, Topological indices
112,LPRS,log of product of row sums (PRS), Topological indices
113,MSD,mean square distance index (Balaban), Topological indices
114,SPI,superpendentic index, Topological indices
115,PJI2,2D Petitjean shape index, Topological indices
116,ECC,eccentricity, Topological indices
117,AECC,average eccentricity, Topological indices
118,DECC,eccentric, Topological indices
119,MDDD,mean distance degree deviation, Topological indices
120,UNIP,unipolarity, Topological indices
121,CENT,centralization, Topological indices
122,VAR,variation, Topological indices
123,ICR,radial centric information index, Topological indices
124,MaxTD,max topological distance, Topological indices
125,MeanTD,mean pairwise topological distance, Topological indices
126,MaxDD,max detour distance, Topological indices
127,MeanDD,mean pairwise detour distance, Topological indices
128,SMTI,Schultz Molecular Topological Index (MTI), Topological indices
129,SMTIV,Schultz Molecular Topological Index by valence vertex degrees, Topological indices
130,GMTI,Gutman Molecular Topological Index, Topological indices
131,GMTIV,Gutman Molecular Topological Index by valence vertex degrees, Topological indices
132,Xu,Xu index, Topological indices
133,CSI,eccentric connectivity index, Topological indices
134,Wap,all-path Wiener index, Topological indices
135,S1K,1-path Kier alpha-modified shape index, Topological indices
136,S2K,2-path Kier alpha-modified shape index, Topological indices
137,S3K,3-path Kier alpha-modified shape index, Topological indices
138,PHI,Kier flexibility index, Topological indices
139,PW2,path/walk 2 &#8211; Randic shape index, Topological indices
140,PW3,path/walk 3 &#8211; Randic shape index, Topological indices
141,PW4,path/walk 4 &#8211; Randic shape index, Topological indices
142,PW5,path/walk 5 &#8211; Randic shape index, Topological indices
143,MAXDN,maximal electrotopological negative variation, Topological indices
144,MAXDP,maximal electrotopological positive variation, Topological indices
145,DELS,molecular electrotopological variation, Topological indices
146,TIE,E-state topological parameter, Topological indices
147,Psi_i_s,intrinsic state pseudoconnectivity index &#8211; type S, Topological indices
148,Psi_i_A,intrinsic state pseudoconnectivity index &#8211; type S average, Topological indices
149,Psi_i_0,intrinsic state pseudoconnectivity index &#8211; type 0, Topological indices
150,Psi_i_1,intrinsic state pseudoconnectivity index &#8211; type 1, Topological indices
151,Psi_i_t,intrinsic state pseudoconnectivity index &#8211; type T, Topological indices
152,Psi_i_0d,intrinsic state pseudoconnectivity index &#8211; type 0d, Topological indices
153,Psi_i_1d,intrinsic state pseudoconnectivity index &#8211; type 1d, Topological indices
154,Psi_i_1s,intrinsic state pseudoconnectivity index &#8211; type 1s, Topological indices
155,Psi_e_A,electrotopological state pseudoconnectivity index &#8211; type S average, Topological indices
156,Psi_e_0,electrotopological state pseudoconnectivity index &#8211; type 0, Topological indices
157,Psi_e_1,electrotopological state pseudoconnectivity index &#8211; type 1, Topological indices
158,Psi_e_t,electrotopological state pseudoconnectivity index &#8211; type T, Topological indices
159,Psi_e_0d,electrotopological state pseudoconnectivity index &#8211; type 0d, Topological indices
160,Psi_e_1d,electrotopological state pseudoconnectivity index &#8211; type 1d, Topological indices
161,Psi_e_1s,electrotopological state pseudoconnectivity index &#8211; type 1s, Topological indices
162,BAC,Balaban centric index, Topological indices
163,LOC,lopping centric index, Topological indices
164,MWC01,molecular walk count of order 1, Walk and path counts
165,MWC02,molecular walk count of order 2, Walk and path counts
166,MWC03,molecular walk count of order 3, Walk and path counts
167,MWC04,molecular walk count of order 4, Walk and path counts
168,MWC05,molecular walk count of order 5, Walk and path counts
169,MWC06,molecular walk count of order 6, Walk and path counts
170,MWC07,molecular walk count of order 7, Walk and path counts
171,MWC08,molecular walk count of order 8, Walk and path counts
172,MWC09,molecular walk count of order 9, Walk and path counts
173,MWC10,molecular walk count of order 10, Walk and path counts
174,SRW02,self-returning walk count of order 2, Walk and path counts
175,SRW03,self-returning walk count of order 3, Walk and path counts
176,SRW04,self-returning walk count of order 4, Walk and path counts
177,SRW05,self-returning walk count of order 5, Walk and path counts
178,SRW06,self-returning walk count of order 6, Walk and path counts
179,SRW07,self-returning walk count of order 7, Walk and path counts
180,SRW08,self-returning walk count of order 8, Walk and path counts
181,SRW09,self-returning walk count of order 9, Walk and path counts
182,SRW10,self-returning walk count of order 10, Walk and path counts
183,MPC01,molecular path count of order 1 (no. of non-H bonds), Walk and path counts
184,MPC02,molecular path count of order 2 (Gordon-Scantlebury index), Walk and path counts
185,MPC03,molecular path count of order 3, Walk and path counts
186,MPC04,molecular path count of order 4, Walk and path counts
187,MPC05,molecular path count of order 5, Walk and path counts
188,MPC06,molecular path count of order 6, Walk and path counts
189,MPC07,molecular path count of order 7, Walk and path counts
190,MPC08,molecular path count of order 8, Walk and path counts
191,MPC09,molecular path count of order 9, Walk and path counts
192,MPC10,molecular path count of order 10, Walk and path counts
193,piPC01,molecular multiple path count of order 1, Walk and path counts
194,piPC02,molecular multiple path count of order 2, Walk and path counts
195,piPC03,molecular multiple path count of order 3, Walk and path counts
196,piPC04,molecular multiple path count of order 4, Walk and path counts
197,piPC05,molecular multiple path count of order 5, Walk and path counts
198,piPC06,molecular multiple path count of order 6, Walk and path counts
199,piPC07,molecular multiple path count of order 7, Walk and path counts
200,piPC08,molecular multiple path count of order 8, Walk and path counts
201,piPC09,molecular multiple path count of order 9, Walk and path counts
202,piPC10,molecular multiple path count of order 10, Walk and path counts
203,TWC,total walk count, Walk and path counts
204,TPC,total path count, Walk and path counts
205,piID,conventional bond order ID number, Walk and path counts
206,PCR,ratio of multiple path count over path count, Walk and path counts
207,PCD,difference between multiple path count and path count, Walk and path counts
208,CID,Randic ID number, Walk and path counts
209,BID,Balaban ID number, Walk and path counts
210,X0,connectivity index of order 0, Connectivity indices
211,X1,connectivity index of order 1 (Randic connectivity index), Connectivity indices
212,X2,connectivity index of order 2, Connectivity indices
213,X3,connectivity index of order 3, Connectivity indices
214,X4,connectivity index of order 4, Connectivity indices
215,X5,connectivity index of order 5, Connectivity indices
216,X0A,average connectivity index of order 0, Connectivity indices
217,X1A,average connectivity index of order 1, Connectivity indices
218,X2A,average connectivity index of order 2, Connectivity indices
219,X3A,average connectivity index of order 3, Connectivity indices
220,X4A,average connectivity index of order 4, Connectivity indices
221,X5A,average connectivity index of order 5, Connectivity indices
222,X0v,valence connectivity index of order 0, Connectivity indices
223,X1v,valence connectivity index of order 1, Connectivity indices
224,X2v,valence connectivity index of order 2, Connectivity indices
225,X3v,valence connectivity index of order 3, Connectivity indices
226,X4v,valence connectivity index of order 4, Connectivity indices
227,X5v,valence connectivity index of order 5, Connectivity indices
228,X0Av,average valence connectivity index of order 0, Connectivity indices
229,X1Av,average valence connectivity index of order 1, Connectivity indices
230,X2Av,average valence connectivity index of order 2, Connectivity indices
231,X3Av,average valence connectivity index of order 3, Connectivity indices
232,X4Av,average valence connectivity index of order 4, Connectivity indices
233,X5Av,average valence connectivity index of order 5, Connectivity indices
234,X0sol,solvation connectivity index of order 0, Connectivity indices
235,X1sol,solvation connectivity index of order 1, Connectivity indices
236,X2sol,solvation connectivity index of order 2, Connectivity indices
237,X3sol,solvation connectivity index of order 3, Connectivity indices
238,X4sol,solvation connectivity index of order 4, Connectivity indices
239,X5sol,solvation connectivity index of order 5, Connectivity indices
240,XMOD,modified Randic index, Connectivity indices
241,RDCHI,reciprocal distance sum Randic-like index, Connectivity indices
242,RDSQ,reciprocal distance sum inverse Randic-like index, Connectivity indices
243,X1Kup,Kupchik connectivity index, Connectivity indices
244,X1Mad,connectivity topochemical index, Connectivity indices
245,X1Per,perturbation connectivity index, Connectivity indices
246,X1MulPer,multiplicative perturbation connectivity index, Connectivity indices
247,ISIZ,information index on molecular size, Information indices
248,IAC,total information index on atomic composition, Information indices
249,AAC,mean information index on atomic composition, Information indices
250,IDE,mean information content on the distance equality, Information indices
251,IDM,mean information content on the distance magnitude, Information indices
252,IDDE,mean information content on the distance degree equality, Information indices
253,IDDM,mean information content on the distance degree magnitude, Information indices
254,IDET,total information content on the distance equality, Information indices
255,IDMT,total information content on the distance magnitude, Information indices
256,IVDE,mean information content on the vertex degree equality, Information indices
257,IVDM,mean information content on the vertex degree magnitude, Information indices
258,Ges,Number of symmetry classes (based on electrotopological state), Information indices
259,rGes,Relative number of symmetry classes (based on electrotopological state), Information indices
260,S0K,Kier symmetry index, Information indices
261,HVcpx,graph vertex complexity index, Information indices
262,HDcpx,graph distance complexity index (log function), Information indices
263,Uindex,Balaban U index, Information indices
264,Vindex,Balaban V index, Information indices
265,Xindex,Balaban X index, Information indices
266,Yindex,Balaban Y index, Information indices
267,BertzCT,Bertz complexity index, Information indices
268,IC0,Information Content index (neighborhood symmetry of 0-order), Information indices
269,IC1,Information Content index (neighborhood symmetry of 1-order), Information indices
270,IC2,Information Content index (neighborhood symmetry of 2-order), Information indices
271,IC3,Information Content index (neighborhood symmetry of 3-order), Information indices
272,IC4,Information Content index (neighborhood symmetry of 4-order), Information indices
273,IC5,Information Content index (neighborhood symmetry of 5-order), Information indices
274,TIC0,Total Information Content index (neighborhood symmetry of 0-order), Information indices
275,TIC1,Total Information Content index (neighborhood symmetry of 1-order), Information indices
276,TIC2,Total Information Content index (neighborhood symmetry of 2-order), Information indices
277,TIC3,Total Information Content index (neighborhood symmetry of 3-order), Information indices
278,TIC4,Total Information Content index (neighborhood symmetry of 4-order), Information indices
279,TIC5,Total Information Content index (neighborhood symmetry of 5-order), Information indices
280,SIC0,Structural Information Content index (neighborhood symmetry of 0-order), Information indices
281,SIC1,Structural Information Content index (neighborhood symmetry of 1-order), Information indices
282,SIC2,Structural Information Content index (neighborhood symmetry of 2-order), Information indices
283,SIC3,Structural Information Content index (neighborhood symmetry of 3-order), Information indices
284,SIC4,Structural Information Content index (neighborhood symmetry of 4-order), Information indices
285,SIC5,Structural Information Content index (neighborhood symmetry of 5-order), Information indices
286,CIC0,Complementary Information Content index (neighborhood symmetry of 0-order), Information indices
287,CIC1,Complementary Information Content index (neighborhood symmetry of 1-order), Information indices
288,CIC2,Complementary Information Content index (neighborhood symmetry of 2-order), Information indices
289,CIC3,Complementary Information Content index (neighborhood symmetry of 3-order), Information indices
290,CIC4,Complementary Information Content index (neighborhood symmetry of 4-order), Information indices
291,CIC5,Complementary Information Content index (neighborhood symmetry of 5-order), Information indices
292,BIC0,Bond Information Content index (neighborhood symmetry of 0-order), Information indices
293,BIC1,Bond Information Content index (neighborhood symmetry of 1-order), Information indices
294,BIC2,Bond Information Content index (neighborhood symmetry of 2-order), Information indices
295,BIC3,Bond Information Content index (neighborhood symmetry of 3-order), Information indices
296,BIC4,Bond Information Content index (neighborhood symmetry of 4-order), Information indices
297,BIC5,Bond Information Content index (neighborhood symmetry of 5-order), Information indices
298,J_A,Balaban-like index from adjacency matrix, 2D matrix-based descriptors
299,SpPos_A,spectral positive sum from adjacency matrix, 2D matrix-based descriptors
300,SpPosA_A,normalized spectral positive sum from adjacency matrix, 2D matrix-based descriptors
301,SpPosLog_A,logarithmic spectral positive sum from adjacency matrix, 2D matrix-based descriptors
302,SpMax_A,leading eigenvalue from adjacency matrix (Lovasz-Pelikan index), 2D matrix-based descriptors
303,SpMaxA_A,normalized leading eigenvalue from adjacency matrix, 2D matrix-based descriptors
304,SpDiam_A,spectral diameter from adjacency matrix, 2D matrix-based descriptors
305,SpAD_A,spectral absolute deviation from adjacency matrix, 2D matrix-based descriptors
306,SpMAD_A,spectral mean absolute deviation from adjacency matrix, 2D matrix-based descriptors
307,Ho_A,Hosoya-like index (log function) from adjacency matrix, 2D matrix-based descriptors
308,EE_A,Estrada-like index (log function) from adjacency matrix, 2D matrix-based descriptors
309,VE1_A,coefficient sum of the last eigenvector (absolute values) from adjacency matrix, 2D matrix-based descriptors
310,VE2_A,average coefficient of the last eigenvector (absolute values) from adjacency matrix, 2D matrix-based descriptors
311,VE3_A,logarithmic coefficient sum of the last eigenvector (absolute values) from adjacency matrix, 2D matrix-based descriptors
312,VE1sign_A,coefficient sum of the last eigenvector from adjacency matrix, 2D matrix-based descriptors
313,VE2sign_A,average coefficient of the last eigenvector from adjacency matrix, 2D matrix-based descriptors
314,VE3sign_A,logarithmic coefficient sum of the last eigenvector from adjacency matrix, 2D matrix-based descriptors
315,VR1_A,Randic-like eigenvector-based index from adjacency matrix, 2D matrix-based descriptors
316,VR2_A,normalized Randic-like eigenvector-based index from adjacency matrix, 2D matrix-based descriptors
317,VR3_A,logarithmic Randic-like eigenvector-based index from adjacency matrix, 2D matrix-based descriptors
318,Wi_D,Wiener-like index from topological distance matrix (Wiener index), 2D matrix-based descriptors
319,WiA_D,average Wiener-like index from topological distance matrix, 2D matrix-based descriptors
320,AVS_D,average vertex sum from topological distance matrix, 2D matrix-based descriptors
321,H_D,Harary-like index from topological distance matrix (Harary index), 2D matrix-based descriptors
322,Chi_D,Randic-like index from topological distance matrix, 2D matrix-based descriptors
323,ChiA_D,average Randic-like index from topological distance matrix, 2D matrix-based descriptors
324,J_D,Balaban-like index from topological distance matrix (Balaban distance connectivity index), 2D matrix-based descriptors
325,HyWi_D,hyper-Wiener-like index (log function) from topological distance matrix, 2D matrix-based descriptors
326,SpPos_D,spectral positive sum from topological distance matrix, 2D matrix-based descriptors
327,SpPosA_D,normalized spectral positive sum from topological distance matrix, 2D matrix-based descriptors
328,SpPosLog_D,logarithmic spectral positive sum from topological distance matrix, 2D matrix-based descriptors
329,SpMax_D,leading eigenvalue from topological distance matrix, 2D matrix-based descriptors
330,SpMaxA_D,normalized leading eigenvalue from topological distance matrix, 2D matrix-based descriptors
331,SpDiam_D,spectral diameter from topological distance matrix, 2D matrix-based descriptors
332,SpAD_D,spectral absolute deviation from topological distance matrix, 2D matrix-based descriptors
333,SpMAD_D,spectral mean absolute deviation from topological distance matrix, 2D matrix-based descriptors
334,Ho_D,Hosoya-like index (log function) from topological distance matrix, 2D matrix-based descriptors
335,EE_D,Estrada-like index (log function) from topological distance matrix, 2D matrix-based descriptors
336,SM2_D,spectral moment of order 2 from topological distance matrix, 2D matrix-based descriptors
337,SM3_D,spectral moment of order 3 from topological distance matrix, 2D matrix-based descriptors
338,SM4_D,spectral moment of order 4 from topological distance matrix, 2D matrix-based descriptors
339,SM5_D,spectral moment of order 5 from topological distance matrix, 2D matrix-based descriptors
340,SM6_D,spectral moment of order 6 from topological distance matrix, 2D matrix-based descriptors
341,VE1_D,coefficient sum of the last eigenvector (absolute values) from topological distance matrix, 2D matrix-based descriptors
342,VE2_D,average coefficient of the last eigenvector (absolute values) from topological distance matrix, 2D matrix-based descriptors
343,VE3_D,logarithmic coefficient sum of the last eigenvector (absolute values) from topological distance matrix, 2D matrix-based descriptors
344,VE1sign_D,coefficient sum of the last eigenvector from topological distance matrix, 2D matrix-based descriptors
345,VE2sign_D,average coefficient of the last eigenvector from topological distance matrix, 2D matrix-based descriptors
346,VE3sign_D,logarithmic coefficient sum of the last eigenvector from topological distance matrix, 2D matrix-based descriptors
347,VR1_D,Randic-like eigenvector-based index from topological distance matrix, 2D matrix-based descriptors
348,VR2_D,normalized Randic-like eigenvector-based index from topological distance matrix, 2D matrix-based descriptors
349,VR3_D,logarithmic Randic-like eigenvector-based index from topological distance matrix, 2D matrix-based descriptors
350,Acon,algebraic connectivity (also known as Fiedler value or Fiedler eigenvalue), 2D matrix-based descriptors
351,QW_L,quasi-Wiener index (Kirchhoff number) from Laplace matrix, 2D matrix-based descriptors
352,TI1_L,first Mohar index from Laplace matrix, 2D matrix-based descriptors
353,TI2_L,second Mohar index from Laplace matrix, 2D matrix-based descriptors
354,STN_L,spanning tree number (log function) from Laplace matrix, 2D matrix-based descriptors
355,SpPos_L,spectral positive sum from Laplace matrix, 2D matrix-based descriptors
356,SpPosA_L,normalized spectral positive sum from Laplace matrix, 2D matrix-based descriptors
357,SpPosLog_L,logarithmic spectral positive sum from Laplace matrix, 2D matrix-based descriptors
358,SpMax_L,leading eigenvalue from Laplace matrix, 2D matrix-based descriptors
359,SpMaxA_L,normalized leading eigenvalue from Laplace matrix, 2D matrix-based descriptors
360,SpDiam_L,spectral diameter from Laplace matrix, 2D matrix-based descriptors
361,SpAD_L,spectral absolute deviation from Laplace matrix, 2D matrix-based descriptors
362,SpMAD_L,spectral mean absolute deviation from Laplace matrix, 2D matrix-based descriptors
363,Ho_L,Hosoya-like index (log function) from Laplace matrix, 2D matrix-based descriptors
364,EE_L,Estrada-like index (log function) from Laplace matrix, 2D matrix-based descriptors
365,SM2_L,spectral moment of order 2 from Laplace matrix, 2D matrix-based descriptors
366,SM3_L,spectral moment of order 3 from Laplace matrix, 2D matrix-based descriptors
367,SM4_L,spectral moment of order 4 from Laplace matrix, 2D matrix-based descriptors
368,SM5_L,spectral moment of order 5 from Laplace matrix, 2D matrix-based descriptors
369,SM6_L,spectral moment of order 6 from Laplace matrix, 2D matrix-based descriptors
370,VE1_L,coefficient sum of the last eigenvector (absolute values) from Laplace matrix, 2D matrix-based descriptors
371,VE2_L,average coefficient of the last eigenvector (absolute values) from Laplace matrix, 2D matrix-based descriptors
372,VE3_L,logarithmic coefficient sum of the last eigenvector (absolute values) from Laplace matrix, 2D matrix-based descriptors
373,VE1sign_L,coefficient sum of the last eigenvector from Laplace matrix, 2D matrix-based descriptors
374,VE2sign_L,average coefficient of the last eigenvector from Laplace matrix, 2D matrix-based descriptors
375,VE3sign_L,logarithmic coefficient sum of the last eigenvector from Laplace matrix, 2D matrix-based descriptors
376,VR1_L,Randic-like eigenvector-based index from Laplace matrix, 2D matrix-based descriptors
377,VR2_L,normalized Randic-like eigenvector-based index from Laplace matrix, 2D matrix-based descriptors
378,VR3_L,logarithmic Randic-like eigenvector-based index from Laplace matrix, 2D matrix-based descriptors
379,AVS_X,average vertex sum from chi matrix, 2D matrix-based descriptors
380,H_X,Harary-like index from chi matrix, 2D matrix-based descriptors
381,Chi_X,Randic-like index from chi matrix, 2D matrix-based descriptors
382,ChiA_X,average Randic-like index from chi matrix, 2D matrix-based descriptors
383,J_X,Balaban-like index from chi matrix, 2D matrix-based descriptors
384,HyWi_X,hyper-Wiener-like index (log function) from chi matrix, 2D matrix-based descriptors
385,SpPos_X,spectral positive sum from chi matrix, 2D matrix-based descriptors
386,SpPosA_X,normalized spectral positive sum from chi matrix, 2D matrix-based descriptors
387,SpPosLog_X,logarithmic spectral positive sum from chi matrix, 2D matrix-based descriptors
388,SpMax_X,leading eigenvalue from chi matrix, 2D matrix-based descriptors
389,SpMaxA_X,normalized leading eigenvalue from chi matrix, 2D matrix-based descriptors
390,SpDiam_X,spectral diameter from chi matrix, 2D matrix-based descriptors
391,SpAD_X,spectral absolute deviation from chi matrix, 2D matrix-based descriptors
392,SpMAD_X,spectral mean absolute deviation from chi matrix, 2D matrix-based descriptors
393,Ho_X,Hosoya-like index (log function) from chi matrix, 2D matrix-based descriptors
394,EE_X,Estrada-like index (log function) from chi matrix, 2D matrix-based descriptors
395,SM2_X,spectral moment of order 2 from chi matrix, 2D matrix-based descriptors
396,SM3_X,spectral moment of order 3 from chi matrix, 2D matrix-based descriptors
397,SM4_X,spectral moment of order 4 from chi matrix, 2D matrix-based descriptors
398,SM5_X,spectral moment of order 5 from chi matrix, 2D matrix-based descriptors
399,SM6_X,spectral moment of order 6 from chi matrix, 2D matrix-based descriptors
400,VE1_X,coefficient sum of the last eigenvector (absolute values) from chi matrix, 2D matrix-based descriptors
401,VE2_X,average coefficient of the last eigenvector (absolute values) from chi matrix, 2D matrix-based descriptors
402,VE3_X,logarithmic coefficient sum of the last eigenvector (absolute values) from chi matrix, 2D matrix-based descriptors
403,VE1sign_X,coefficient sum of the last eigenvector from chi matrix, 2D matrix-based descriptors
404,VE2sign_X,average coefficient of the last eigenvector from chi matrix, 2D matrix-based descriptors
405,VE3sign_X,logarithmic coefficient sum of the last eigenvector from chi matrix, 2D matrix-based descriptors
406,VR1_X,Randic-like eigenvector-based index from chi matrix, 2D matrix-based descriptors
407,VR2_X,normalized Randic-like eigenvector-based index from chi matrix, 2D matrix-based descriptors
408,VR3_X,logarithmic Randic-like eigenvector-based index from chi matrix, 2D matrix-based descriptors
409,Wi_H2,Wiener-like index from reciprocal squared distance matrix, 2D matrix-based descriptors
410,WiA_H2,average Wiener-like index from reciprocal squared distance matrix, 2D matrix-based descriptors
411,AVS_H2,average vertex sum from reciprocal squared distance matrix, 2D matrix-based descriptors
412,Chi_H2,Randic-like index from reciprocal squared distance matrix, 2D matrix-based descriptors
413,ChiA_H2,average Randic-like index from reciprocal squared distance matrix, 2D matrix-based descriptors
414,J_H2,Balaban-like index from reciprocal squared distance matrix, 2D matrix-based descriptors
415,HyWi_H2,hyper-Wiener-like index (log function) from reciprocal squared distance matrix, 2D matrix-based descriptors
416,SpPos_H2,spectral positive sum from reciprocal squared distance matrix, 2D matrix-based descriptors
417,SpPosA_H2,normalized spectral positive sum from reciprocal squared distance matrix, 2D matrix-based descriptors
418,SpPosLog_H2,logarithmic spectral positive sum from reciprocal squared distance matrix, 2D matrix-based descriptors
419,SpMax_H2,leading eigenvalue from reciprocal squared distance matrix, 2D matrix-based descriptors
420,SpMaxA_H2,normalized leading eigenvalue from reciprocal squared distance matrix, 2D matrix-based descriptors
421,SpDiam_H2,spectral diameter from reciprocal squared distance matrix, 2D matrix-based descriptors
422,SpAD_H2,spectral absolute deviation from reciprocal squared distance matrix, 2D matrix-based descriptors
423,SpMAD_H2,spectral mean absolute deviation from reciprocal squared distance matrix, 2D matrix-based descriptors
424,Ho_H2,Hosoya-like index (log function) from reciprocal squared distance matrix, 2D matrix-based descriptors
425,EE_H2,Estrada-like index (log function) from reciprocal squared distance matrix, 2D matrix-based descriptors
426,SM2_H2,spectral moment of order 2 from reciprocal squared distance matrix, 2D matrix-based descriptors
427,SM3_H2,spectral moment of order 3 from reciprocal squared distance matrix, 2D matrix-based descriptors
428,SM4_H2,spectral moment of order 4 from reciprocal squared distance matrix, 2D matrix-based descriptors
429,SM5_H2,spectral moment of order 5 from reciprocal squared distance matrix, 2D matrix-based descriptors
430,SM6_H2,spectral moment of order 6 from reciprocal squared distance matrix, 2D matrix-based descriptors
